,Date,Time,T_ambient,RH_ambient,T_upstream,RH_upstream,T_center,RH_center,T_downstream,RH_downstream,Sample_weight_g,UAI_NC_9,UAI_NC_10,UAI_NC_11,UAI_NC_12,UAI_NC_13,UAI_NC_14,UAI_NC_15
0,25/03/22,11:20:14,32.8538924666579,56.53769406900967,41.208413043523606,28.779530523987447,42.240981464444474,25.506715387506212,41.33597164487669,29.82132746108338,63.59711966497421,0,0,0,0,0,0,0
0,25/03/22,11:20:24,32.87460322228689,56.3922015066267,41.18893062048737,28.693934815760542,42.268222677005696,25.487379448853698,41.36222164644131,29.808400214219112,63.499890655272644,0,0,0,0,0,0,0
0,25/03/22,11:20:14,32.8538924666579,56.53769406900967,41.208413043523606,28.779530523987447,42.240981464444474,25.506715387506212,41.33597164487669,29.82132746108338,63.59711966497421,0,0,0,0,0,0,0
0,25/03/22,11:20:24,32.87460322228689,56.3922015066267,41.18893062048737,28.693934815760542,42.268222677005696,25.487379448853698,41.36222164644131,29.808400214219112,63.499890655272644,0,0,0,0,0,0,0
0,25/03/22,11:20:34,32.88837122847862,56.38745602294541,41.0972094236141,28.69431323375185,42.23498292893069,25.46513823659052,41.435024385155685,29.827577461455913,67.30967481790036,0,0,0,0,0,0,0
0,25/03/22,11:20:44,31.01711867553703,56.38272579805408,41.225519978137015,28.621449459877578,42.3473315684397,25.408827198077873,41.41079098527378,29.775184880208073,67.31406934941229,0,0,0,0,0,0,0
0,25/03/22,11:20:54,31.05288985686837,56.39729794247734,41.27677242259814,28.646046629312433,42.22149904140824,25.396607959068294,41.40458737162277,29.741615542269685,66.986218988074,0,0,0,0,0,0,0
0,25/03/22,11:21:04,31.033823998798372,56.39236935331638,41.331647914150224,28.65962084887152,42.26719728631957,25.357569870803946,41.50881833486666,29.620179988156558,63.6022466184048,0,0,0,0,0,0,0
0,25/03/22,11:21:14,31.062684474151403,56.654454329875364,41.256110800272864,28.67061938468333,42.33690676313083,25.403614795423437,41.56936765488193,29.56805596161222,67.40388258718745,0,0,0,0,0,0,0
0,25/03/22,11:21:24,31.001545554491614,56.79306517798096,41.11385493241876,28.685963623879175,42.22727540894003,25.38623198188734,41.50158933052953,29.601454401102927,63.25526173444164,0,0,0,0,0,0,0
0,25/03/22,11:21:34,31.057845911851278,56.67601500010579,41.20289302366335,28.735914798731493,42.18109864837518,25.458546439322618,41.51437253441647,29.665651182273105,67.25877149455378,0,0,0,0,0,0,0
0,25/03/22,11:21:44,31.0648634293594,56.59315977055786,41.240490682154345,28.761866948715863,42.23424806560563,25.4537612827874,41.367758756146344,29.66476006893874,67.44114455229906,0,0,0,0,0,0,0
0,25/03/22,11:21:54,31.06206496727853,56.59665403346145,41.24802730369731,28.716676516334804,42.28907228762341,25.42409819508184,41.526027808548676,29.669227842642538,63.54282889025385,0,0,0,0,0,0,0
0,25/03/22,11:22:04,30.956588581597117,56.522740454837106,41.18224849118283,28.736073490147202,42.180466324118754,25.465199271750404,41.49846188893687,29.618886042766935,63.170667002836886,0,0,0,0,0,0,0
0,25/03/22,11:22:14,31.08656753221556,56.3787890302413,41.351181606720786,28.63468188254129,42.24771486328332,25.401637256243063,41.57324704964441,29.561854789367604,66.99958568808947,0,0,0,0,0,0,0
0,25/03/22,11:22:24,31.068601832902534,56.39044674577991,41.23016841591409,28.65431078996127,42.34172609935558,25.35810698021096,41.51016843260338,29.462367478750195,67.26362378976488,0,0,0,0,0,0,0
0,25/03/22,11:22:34,31.129943694468952,56.305729943855404,41.25573482368796,28.649757567033625,42.355876490824016,25.309095746820915,41.57719480378597,29.47153495976537,67.34666212479247,0,0,0,0,0,0,0
0,25/03/22,11:22:44,31.2051603737569,56.31744869455389,41.29088863437704,28.62849291732865,42.29896730774446,25.319337446650113,41.51297116714545,29.4582781230377,67.18937451776115,0,0,0,0,0,0,0
0,25/03/22,11:22:54,31.100613248384782,56.316182214986206,41.17930903788263,28.66236743106648,42.22542970570501,25.320362837336237,41.4762109110481,29.458314744133634,63.372540794166376,0,0,0,0,0,0,0
0,25/03/22,11:23:04,31.201614230967415,56.30812557388101,41.18407710457308,28.72625903643722,42.3213891840809,25.39871977560042,41.53337644179919,29.526393361472685,63.33253224685979,0,0,0,0,0,0,0
0,25/03/22,11:23:14,31.125158537933732,56.31493099420852,41.13537104698247,28.72599048173371,42.18385011338293,25.43329009016097,41.46515378148281,29.54419121409602,63.62293753760682,0,0,0,0,0,0,0
0,25/03/22,11:23:24,31.198826450039526,56.317158777544414,41.05805658924916,28.721241946294423,42.19993165731023,25.443861379853573,41.466486789374756,29.6294207113636,67.1526618690885,0,0,0,0,0,0,0
0,25/03/22,11:23:34,31.202554172429686,56.315190393638034,41.273798789608406,28.71283130126186,42.23135988183975,25.419837940921663,41.38847164800595,29.656337216874196,67.16850049307943,0,0,0,0,0,0,0
0,25/03/22,11:23:44,31.339977886675463,56.319249231770584,41.20737056299272,28.715211672497492,42.22419923688169,25.403016650856536,41.32940914448554,29.667372373781948,63.36201222908569,0,0,0,0,0,0,0
0,25/03/22,11:23:54,31.999731343968595,56.324894984060215,41.22177730213268,28.649318113882433,42.17750978097378,25.394093310480915,41.45281491355985,29.596571588311882,63.56159720191941,0,0,0,0,0,0,0
0,25/03/22,11:24:04,32.90770411537314,56.327000697076365,41.20191890251154,28.59594897007638,42.14121095068519,25.357435593452195,41.49596677160065,29.527308888871005,65.12742371126555,0,0,0,0,0,0,0
0,25/03/22,11:24:14,32.92838282754319,56.3329211075855,41.125424757327124,28.62019213558389,42.21365480265945,25.338209518087478,41.403356902799416,29.489174120972994,63.75111137337156,0,0,0,0,0,0,0
0,25/03/22,11:24:24,32.93737635835269,56.3232165171633,41.188264116541404,28.638234128846772,42.2046826341559,25.345558151337993,41.53725583656167,29.42568534765752,63.823895801537965,0,0,0,0,0,0,0
0,25/03/22,11:24:34,32.88470759300635,56.319493372410136,41.04308588523185,28.64929369981847,42.18598634397901,25.351246628239547,41.453361788592446,29.43307060200397,63.59922537799033,0,0,0,0,0,0,0
0,25/03/22,11:24:44,32.93104243463531,56.31102474397568,41.17717280728655,28.658680907409245,42.23981935500021,25.32531889231914,41.46484616427696,29.41761649952033,67.47291335302073,0,0,0,0,0,0,0
0,25/03/22,11:24:54,32.85999140500971,56.32565792355882,41.157092239683394,28.66484545855793,42.07180909107977,25.34930571015511,41.516560034546856,29.50777763770685,67.14442212250363,0,0,0,0,0,0,0
0,25/03/22,11:25:04,32.859361216983864,56.18645198264432,41.10551508817167,28.618690670650643,42.14218507183702,25.311866743079825,41.41788327085277,29.535023733080845,63.60023245812849,0,0,0,0,0,0,0
0,25/03/22,11:25:14,32.9276137845286,56.17862422338869,41.082392528199705,28.646998777806687,42.15149903723592,25.389869677416666,41.52626706637544,29.562929008181634,67.2970405398035,0,0,0,0,0,0,0
0,25/03/22,11:25:24,32.91522364707134,56.179951738116245,41.114213819158905,28.653053465667575,42.22332765479848,25.356471237925966,41.42205319297631,29.55804619539059,63.68079886918061,0,0,0,0,0,0,0
0,25/03/22,11:25:34,32.921878005378126,56.18811519075127,41.16915767009006,28.64784106301314,42.186499039322086,25.387831103076408,41.43305905300731,29.60759453818766,63.86491142898271,0,0,0,0,0,0,0
0,25/03/22,11:25:44,32.85108332342406,56.39844235172523,41.122263136044936,28.653920164937986,42.17229737831933,25.411134327121637,41.36051266196445,29.638746883794482,67.22178418766167,0,0,0,0,0,0,0
0,25/03/22,11:25:54,33.01597896313542,56.54045590999459,41.18706782740759,28.770253179684474,42.203400895798254,25.477540581079754,41.35600094294554,29.741737612589457,67.33091505354135,0,0,0,0,0,0,0
0,25/03/22,11:26:04,33.04937892850512,56.39848812809515,41.13730219944132,28.859010509193574,42.166298842805546,25.52074126724847,41.347763637767045,29.850770822213345,67.46540602835452,0,0,0,0,0,0,0
0,25/03/22,11:26:14,33.11999203085852,56.328709681553214,41.1255956557748,28.829640390255474,42.084951181706856,25.54973296819526,41.33190426182176,29.867225901319145,67.42722853584459,0,0,0,0,0,0,0
