,Date,Time,T_ambient,RH_ambient,T_upstream,RH_upstream,T_center,RH_center,T_downstream,RH_downstream,Sample_weight_g,UAI_NC_9,UAI_NC_10,UAI_NC_11,UAI_NC_12,UAI_NC_13,UAI_NC_14,UAI_NC_15
0,30/03/22,14:03:38,30.47904491299658,56.88039123299069,41.05844965567886,30.720717163128686,42.018010259748124,27.486891286783894,41.22341792723047,31.460011640787823,63.08753711506948,0,0,0,0,0,0,0
0,30/03/22,14:03:48,30.500951957759376,56.870778195308326,41.03471186129521,30.750319215674356,41.96788574504171,27.442897143536637,41.37136471339254,31.448048749449775,62.85865526548956,0,0,0,0,0,0,0
0,30/03/22,14:03:38,30.47904491299658,56.88039123299069,41.05844965567886,30.720717163128686,42.018010259748124,27.486891286783894,41.22341792723047,31.460011640787823,63.08753711506948,0,0,0,0,0,0,0
0,30/03/22,14:03:48,30.500951957759376,56.870778195308326,41.03471186129521,30.750319215674356,41.96788574504171,27.442897143536637,41.37136471339254,31.448048749449775,62.85865526548956,0,0,0,0,0,0,0
0,30/03/22,14:03:58,30.554688838403752,56.86029540659757,41.00728266044155,30.755287477689237,42.01718994719923,27.46342937132295,41.34424312974471,31.519105882591365,63.05531055064861,0,0,0,0,0,0,0
0,30/03/22,14:04:08,30.628677185098955,56.88710510057837,40.88315911788696,30.73676941017922,41.99018799246478,27.509462088910464,41.33195553135607,31.508644456186563,62.909650141575945,0,0,0,0,0,0,0
0,30/03/22,14:04:18,30.558801082301205,56.87697326403696,40.99805414426649,30.741420289362686,42.12364259026303,27.539112969584046,41.36485348253568,31.572670338909052,63.0418522978933,0,0,0,0,0,0,0
0,30/03/22,14:04:28,30.68384534024271,56.87900268310323,41.146667434374535,30.6963519273014,41.96562988553224,27.58924724991603,41.30563717041237,31.617030693115634,62.86323290248115,0,0,0,0,0,0,0
0,30/03/22,14:04:38,30.60152569422279,57.018162847647844,41.176164506445204,30.67805358636699,41.98326660533347,27.629957701561313,41.26000728488012,31.660890559011136,62.690839093377555,0,0,0,0,0,0,0
0,30/03/22,14:04:48,30.54135875948421,57.01451599684453,41.08485346584639,30.70660583416258,41.89723632676818,27.62160809168864,41.28907711083157,31.6662494460493,62.77250413730764,0,0,0,0,0,0,0
0,30/03/22,14:04:58,30.50505352050385,57.02077210073305,41.051306100565554,30.698317259449798,42.00843994667768,27.629286314802542,41.32778560923252,31.627016045273308,67.60612258947626,0,0,0,0,0,0,0
0,30/03/22,14:05:08,30.5613645590165,57.0163928280111,41.003557074281986,30.700502318173783,41.99254639104285,27.683424501623183,41.28813716936929,31.659889582388974,62.94846850326471,0,0,0,0,0,0,0
0,30/03/22,14:05:18,30.602337461849302,57.16359437487093,40.96218256009713,30.898097544795128,42.10373292110759,27.6441300656873,41.245925252790755,31.72957952794907,63.042950930771305,0,0,0,0,0,0,0
0,30/03/22,14:05:28,30.50253276840047,57.1596881246381,40.94854486397176,30.925978405831955,41.88539306434352,27.751405462706412,41.29863033405722,31.849806585896406,62.750531479748005,0,0,0,0,0,0,0
0,30/03/22,14:05:38,30.60876751594349,57.16078675751608,40.959311466176004,30.971095596021147,41.92312744159267,27.75975507257909,41.110812940049954,31.871474067656642,62.7552006694794,0,0,0,0,0,0,0
0,30/03/22,14:05:48,30.676571475063053,57.1654101708776,40.89249017313065,31.058510152012715,41.981250003650786,27.766310248751058,41.28342037221316,31.891518014163857,62.908643061437786,0,0,0,0,0,0,0
0,30/03/22,14:05:58,30.740904059463976,57.16162599096453,40.90513665825944,31.096522849590947,41.94888183765899,27.750172552476677,41.35263424352611,31.852516546995435,62.936841305306025,0,0,0,0,0,0,0
0,30/03/22,14:06:08,30.637927063579976,57.1418658579508,40.83158196637524,31.076637594499445,41.909660643914975,27.645692565780433,41.31137935825463,31.738441833164803,66.4074225668563,0,0,0,0,0,0,0
0,30/03/22,14:06:18,30.580398373627567,57.15906251424924,40.925456483689345,31.12341494103759,42.15353272876338,27.50401775264846,41.2033544494721,31.608156180867926,62.70704392832779,0,0,0,0,0,0,0
0,30/03/22,14:06:28,30.58474560289059,57.156300673264305,40.912570740733784,31.193507718652945,42.09153077194277,27.41585856770626,41.41082516496331,31.423036540927683,62.771497057169526,0,0,0,0,0,0,0
0,30/03/22,14:06:38,30.574513058335366,57.157582411621966,40.856430600668816,31.219777251468738,42.071040048065186,27.3514908880884,41.44849118283338,31.367372475109846,62.753186509203125,0,0,0,0,0,0,0
0,30/03/22,14:06:48,30.45537547799203,57.165959487316584,40.94688714902921,31.170521877439132,42.161171889374955,27.29256754473254,41.54142575868522,31.27866397372866,66.93888622158086,0,0,0,0,0,0,0
