,Date,Time,T_ambient,RH_ambient,T_upstream,RH_upstream,T_center,RH_center,T_downstream,RH_downstream,Sample_weight_g,UAI_NC_9,UAI_NC_10,UAI_NC_11,UAI_NC_12,UAI_NC_13,UAI_NC_14,UAI_NC_15
0,27/03/22,17:29:36,31.570744196816936,55.32361318609793,40.81497063726013,29.220631624497866,42.02809326816161,26.09444735613151,41.25325679619651,30.21985043405595,67.26911695415477,0,0,0,0,0,0,0
0,27/03/22,17:29:46,31.5002592682993,55.316319484491316,40.78193596732234,29.220497347146114,41.872404782319364,26.122926361735242,41.11260737375065,30.192811858225575,67.16062695745391,0,0,0,0,0,0,0
0,27/03/22,17:29:36,31.570744196816936,55.32361318609793,40.81497063726013,29.220631624497866,42.02809326816161,26.09444735613151,41.25325679619651,30.21985043405595,67.26911695415477,0,0,0,0,0,0,0
0,27/03/22,17:29:46,31.5002592682993,55.316319484491316,40.78193596732234,29.220497347146114,41.872404782319364,26.122926361735242,41.11260737375065,30.192811858225575,67.16062695745391,0,0,0,0,0,0,0
0,27/03/22,17:29:56,31.560362116119993,55.32051565173362,40.81681634049512,29.16543142589518,42.004167485485524,26.081544523331196,41.085331981499905,30.116456873205717,63.42939504560205,0,0,0,0,0,0,0
0,27/03/22,17:30:06,31.27163986990689,55.328785915898436,40.81418450440076,29.187990020989773,42.033767096624786,26.03302157122025,41.125065870586994,30.12525814326156,66.94923168118189,0,0,0,0,0,0,0
0,27/03/22,17:30:16,31.36230149640449,55.332783718871106,40.76310295838732,29.189198517155557,41.90766113207704,25.950172445188308,41.07818842638662,30.023988605975426,67.24531324179847,0,0,0,0,0,0,0
0,27/03/22,17:30:26,31.333419658745505,55.31535818072308,40.85256829575111,29.22498953491387,41.88096679454844,25.913600177383433,41.36075191979123,29.972487138061947,66.85310130435833,0,0,0,0,0,0,0
0,27/03/22,17:30:36,31.395776229845055,55.40095999246598,40.99649896839256,29.20453054931942,41.866337887426496,25.92068025593044,41.12891108565992,29.94746272250788,66.9383369051419,0,0,0,0,0,0,0
0,27/03/22,17:30:46,31.45167070339147,55.39832022180082,40.86097649937727,29.19787771689163,41.90031249882654,25.975697349053462,41.19029780806886,29.95659358242712,67.19752271160617,0,0,0,0,0,0,0
0,27/03/22,17:30:56,31.223542638036164,55.403965974090454,40.86555657777528,29.191127228208018,41.81916991586506,26.031678797702718,41.251035116376585,30.053590658521095,67.164380619787,0,0,0,0,0,0,0
0,27/03/22,17:31:06,31.25507340163429,55.395787262665465,40.875793394791685,29.15455496040314,41.914343261381575,26.02773592637395,41.345900844687264,30.003004718005936,67.2359748623356,0,0,0,0,0,0,0
0,27/03/22,17:31:16,31.33736100419527,55.32623769797312,40.81211663318375,29.1087541764232,41.80173827420104,26.064955166873645,41.158254349127674,30.036683919232125,66.76832346727392,0,0,0,0,0,0,0
0,27/03/22,17:31:26,31.39151444980588,55.3297319608767,40.9208422256018,29.14502126842864,41.836550287994754,26.07302401501083,41.29070064608459,30.068898276621002,67.0154243120804,0,0,0,0,0,0,0
0,27/03/22,17:31:36,31.44406572246943,55.31830312718767,40.910024353863264,29.07642995574653,41.98331787486778,26.10661776701318,41.2369189045977,30.071144370504882,67.09946972724615,0,0,0,0,0,0,0
0,27/03/22,17:31:46,31.369799665796727,55.18190480362802,40.92267083899205,29.019044698419847,41.8565795860636,26.064979580937596,40.99743890985482,30.07850521078737,67.19862134448418,0,0,0,0,0,0,0
0,27/03/22,17:31:56,31.429186876367734,55.11906910652335,40.97055658403376,28.969130144663463,41.895852049341926,26.123512299270168,41.19096431201484,30.08257015243591,67.01386791550323,0,0,0,0,0,0,0
0,27/03/22,17:32:06,31.447462329117194,55.12584400927091,40.88867913774723,28.938612564719474,41.817187493871884,26.07536776515053,41.19093013232529,30.133119471855135,67.16236645951072,0,0,0,0,0,0,0
0,27/03/22,17:32:16,31.332842876484563,55.115132338710566,40.997746527060656,28.88408375287555,41.92011962891338,26.072316007156132,41.0439232876255,30.136513026744904,67.34583815013397,0,0,0,0,0,0,0
0,27/03/22,17:32:26,31.52409960175155,55.11163807580699,41.12814204264534,28.901417738283737,41.69379881464236,26.047132900186355,41.124706983846835,30.173219571901537,66.91883617155769,0,0,0,0,0,0,0
0,27/03/22,17:32:36,31.457395801388962,55.11221790982592,40.96912103707321,28.849403575027203,41.86512450844792,26.041529872508633,41.09192866158061,30.22552670392553,66.87974315164941,0,0,0,0,0,0,0
0,27/03/22,17:32:46,31.558204523217952,55.12650013723971,40.96672845880559,28.85976734517618,41.85714355094096,26.057325771887648,41.08974116145022,30.216285980718492,67.30436475899008,0,0,0,0,0,0,0
0,27/03/22,17:32:56,31.532131828792803,55.12341786166537,40.88432122733124,28.855323985536334,41.861894527786646,25.985902427786733,41.00709467214911,30.24305600184536,67.11411816561927,0,0,0,0,0,0,0
