,Date,Time,T_ambient,RH_ambient,T_upstream,RH_upstream,T_center,RH_center,T_downstream,RH_downstream,Sample_weight_g,UAI_NC_9,UAI_NC_10,UAI_NC_11,UAI_NC_12,UAI_NC_13,UAI_NC_14,UAI_NC_15
0,17/03/22,09:33:25,29.632296510475662,43.81949262735204,41.50681882302872,23.674073676709753,42.55553714725596,21.44987920819993,41.39570065234308,25.342396530055794,162.77345614275072,0,0,0,0,0,0,0
0,17/03/22,09:33:35,29.399778491245424,43.80937604960061,41.59652341821929,23.717225534750554,42.48488772898243,21.429469050733392,41.44199704182131,25.368971238671023,162.98338657518545,0,0,0,0,0,0,0
0,17/03/22,09:33:25,29.632296510475662,43.81949262735204,41.50681882302872,23.674073676709753,42.55553714725596,21.44987920819993,41.39570065234308,25.342396530055794,162.77345614275072,0,0,0,0,0,0,0
0,17/03/22,09:33:35,29.399778491245424,43.80937604960061,41.59652341821929,23.717225534750554,42.48488772898243,21.429469050733392,41.44199704182131,25.368971238671023,162.98338657518545,0,0,0,0,0,0,0
0,17/03/22,09:33:45,29.457424673880617,43.67290143209108,41.55675534944268,23.648426702524823,42.54162601361429,21.44054082873707,41.450490694671316,25.350050339105746,162.00038480760958,0,0,0,0,0,0,0
0,17/03/22,09:33:55,29.35752385005497,43.59898785346674,41.64668211261524,23.734290965455234,42.54135257609799,21.44007696152192,41.483542454453854,25.359791550623868,161.79072903339437,0,0,0,0,0,0,0
0,17/03/22,09:34:05,29.48230107917196,43.67074994270503,41.58124509699613,23.769569287870485,42.51177005480349,21.419679011087357,41.47956052062277,25.36964262542979,162.53853181234192,0,0,0,0,0,0,0
0,17/03/22,09:34:15,29.412531787904015,43.81023054183903,41.57980955003558,23.80051411393369,42.52576663766901,21.413917291993933,41.502819799352864,25.32695463460414,162.8655581990217,0,0,0,0,0,0,0
0,17/03/22,09:34:25,29.470327506680935,43.816257763877964,41.63504392832779,23.78044575336252,42.55598148321994,21.4296277421491,41.46265866414659,25.387403856957192,163.19441564049816,0,0,0,0,0,0,0
0,17/03/22,09:34:35,29.429440053071982,43.810245800629,41.488737767263515,23.937696739297913,42.57313968736764,21.441883602254606,41.422993134438585,25.386988817869955,163.04610020197035,0,0,0,0,0,0,0
