,Date,Time,T_ambient,RH_ambient,T_upstream,RH_upstream,T_center,RH_center,T_downstream,RH_downstream,Sample_weight_g,UAI_NC_9,UAI_NC_10,UAI_NC_11,UAI_NC_12,UAI_NC_13,UAI_NC_14,UAI_NC_15
0,18/03/22,00:53:21,32.889791821825014,47.194050323608536,41.66821531702371,26.36275791899907,42.540395544790954,23.98333883186214,41.62085935716982,28.286561744604217,137.47459599224305,0,0,0,0,0,0,0
0,18/03/22,00:53:31,33.0039519848795,47.19362307748932,41.65498777717278,26.352101180082627,42.5794971096216,23.981373499713747,41.61079343860109,28.232032932760298,137.9160633037128,0,0,0,0,0,0,0
0,18/03/22,00:53:21,32.889791821825014,47.194050323608536,41.66821531702371,26.36275791899907,42.540395544790954,23.98333883186214,41.62085935716982,28.286561744604217,137.47459599224305,0,0,0,0,0,0,0
0,18/03/22,00:53:31,33.0039519848795,47.19362307748932,41.65498777717278,26.352101180082627,42.5794971096216,23.981373499713747,41.61079343860109,28.232032932760298,137.9160633037128,0,0,0,0,0,0,0
0,18/03/22,00:53:41,33.03381648861268,47.196796905803495,41.69379881464236,26.346498152404912,42.45853518834919,23.95146627136864,41.6084521298678,28.276661841670386,138.11555672380663,0,0,0,0,0,0,0
0,18/03/22,00:53:51,32.856744334503674,47.188053619149535,41.70911131555505,26.35024571122203,42.61767582283473,24.020728970809518,41.518405737781876,28.286000221133246,139.75975237844898,0,0,0,0,0,0,0
0,18/03/22,00:54:01,32.92455897477621,47.19382144175895,41.844309077519725,26.301808208334933,42.49591067885821,23.96583394800627,41.41583248948052,28.207472384421372,137.94215583456491,0,0,0,0,0,0,0
0,18/03/22,00:54:11,32.90955195483875,47.192112457282086,41.75974852560452,26.312928814466524,42.52600589549576,23.97918844098976,41.42008786082792,28.235682835321597,140.62062279108895,0,0,0,0,0,0,0
0,18/03/22,00:54:21,32.7506484419494,47.1960339663049,41.7818798745799,26.30811924386735,42.54791507648915,23.952821251918152,41.56524900229269,28.233058323446414,140.18043721797687,0,0,0,0,0,0,0
0,18/03/22,00:54:31,32.82713617844202,47.197300445872564,41.72358641407409,26.280787699269514,42.62818607736742,23.940675255100444,41.54313474316207,28.215748752102183,140.34239401473963,0,0,0,0,0,0,0
0,18/03/22,00:54:41,32.90758662269036,47.19710208160293,41.759252920106235,26.340882917695218,42.632168011198516,23.940272423045183,41.56290769355938,28.24785324620326,137.90864753178641,0,0,0,0,0,0,0
0,18/03/22,00:54:51,32.94078364615343,47.19829226722076,41.72452635553637,26.293299907046546,42.55514408082628,23.94997701346737,41.42012204051744,28.202150118479143,137.48100468403132,0,0,0,0,0,0,0
0,18/03/22,00:55:01,32.91511683554154,47.1957593080854,41.73572020385981,26.320191998493193,42.60709720892292,23.971424768652007,41.501059545341704,28.23015304983575,137.21422000016094,0,0,0,0,0,0,0
0,18/03/22,00:55:11,32.94934993084371,47.12172365914128,41.63847898712629,26.407130480237633,42.58500003963708,23.978443812039128,41.46617917216892,28.248329320450388,137.60405156636546,0,0,0,0,0,0,0
0,18/03/22,00:55:21,32.89300684887212,46.767734990580976,41.60084714894576,26.381727646692255,42.62364017865896,23.97689351897797,41.49417233789994,28.24327560921166,137.4504260689274,0,0,0,0,0,0,0
0,18/03/22,00:55:31,32.9730514093072,46.48677489082664,41.7075561396811,26.299501079291165,42.49767093286937,23.88601216590477,41.49591550206634,28.157997283816176,137.7482471316008,0,0,0,0,0,0,0
0,18/03/22,00:55:41,32.88892664843361,46.28865476183026,41.69513182253431,26.19546054574612,42.53142337628742,23.732630809106283,41.55561032984318,28.00531172784041,140.4531728299363,0,0,0,0,0,0,0
0,18/03/22,00:55:51,32.88284907238776,46.14151425013031,41.68192137252815,26.090992766081854,42.56917484338133,23.638050725343867,41.4952319082756,27.913514847368887,140.57237449719756,0,0,0,0,0,0,0
0,18/03/22,00:56:01,32.89806971538483,46.14203304898936,41.6627807463873,26.037281825380433,42.59383548938247,23.538551207694482,41.39764889464669,27.822560252103816,140.37434592094098,0,0,0,0,0,0,0
